period,status,sex,age,population
2016-09-30,F,female,80-84,46550
2016-09-30,F,female,85-89,32260
2016-09-30,F,female,90+,19520
2016-12-31,F,female,0-14,451500
2016-12-31,F,female,0-4,149070
2016-12-31,F,female,10-14,144640
2016-12-31,F,female,15-19,154470
2016-12-31,F,female,15-39,802700
2016-12-31,F,female,20-24,169150
2016-12-31,F,female,25-29,174380
2016-12-31,F,female,30-34,158010
2016-12-31,F,female,35-39,146730
2016-12-31,F,female,40-44,155650
2016-12-31,F,female,40-64,776400
2016-12-31,F,female,45-49,167560
2016-12-31,F,female,5-9,157780
2016-12-31,F,female,50-54,163500
2016-12-31,F,female,55-59,155e3
2016-12-31,F,female,60-64,134720
2016-12-31,F,female,65-69,120060
2016-12-31,F,female,65+,38e4
2016-12-31,F,female,70-74,90900
2016-12-31,F,female,75-79,70180
2016-12-31,F,female,80-84,46830
2016-12-31,F,female,85-89,32330
2016-12-31,F,female,90+,19710
2017-03-31,F,female,0-14,453200
2017-03-31,F,female,0-4,148890
2017-03-31,F,female,10-14,145860
2017-03-31,F,female,15-19,154830
2017-03-31,F,female,15-39,809900
2017-03-31,F,female,20-24,170140
2017-03-31,F,female,25-29,177560
2017-03-31,F,female,30-34,159390
2017-03-31,F,female,35-39,147980
2017-03-31,F,female,40-44,155090
2017-03-31,F,female,40-64,778200
2017-03-31,F,female,45-49,167910
2017-03-31,F,female,5-9,158460
2017-03-31,F,female,50-54,163370
2017-03-31,F,female,55-59,156100
2017-03-31,F,female,60-64,135700
2017-03-31,F,female,65-69,120070
2017-03-31,F,female,65+,383300
2017-03-31,F,female,70-74,92500
2017-03-31,F,female,75-79,71090
2017-03-31,F,female,80-84,47230
2017-03-31,F,female,85-89,32400
2017-03-31,F,female,90+,20020
2017-06-30,F,female,0-14,454700
2017-06-30,F,female,0-4,148900
2017-06-30,F,female,10-14,147040
2017-06-30,F,female,15-19,154030
2017-06-30,F,female,15-39,812600
2017-06-30,F,female,20-24,170200
2017-06-30,F,female,25-29,178800
2017-06-30,F,female,30-34,160770
2017-06-30,F,female,35-39,148790
2017-06-30,F,female,40-44,154130
2017-06-30,F,female,40-64,779300
2017-06-30,F,female,45-49,168370
2017-06-30,F,female,5-9,158770
2017-06-30,F,female,50-54,162860
2017-06-30,F,female,55-59,157370
2017-06-30,F,female,60-64,136600
2017-06-30,F,female,65-69,120490
2017-06-30,F,female,65+,386100
2017-06-30,F,female,70-74,93690
2017-06-30,F,female,75-79,71830
2017-06-30,F,female,80-84,47590
2017-06-30,F,female,85-89,32370
2017-06-30,F,female,90+,20170
2017-09-30,F,female,0-14,456200
2017-09-30,F,female,0-4,148940
2017-09-30,F,female,10-14,148080
2017-09-30,F,female,15-19,154370
2017-09-30,F,female,15-39,818900
2017-09-30,F,female,20-24,170760
2017-09-30,F,female,25-29,180890
2017-09-30,F,female,30-34,163040
2017-09-30,F,female,35-39,149800
2017-09-30,F,female,40-44,153330
2017-09-30,F,female,40-64,780700
2017-09-30,F,female,45-49,168820
2017-09-30,F,female,5-9,159190
2017-09-30,F,female,50-54,162580
2017-09-30,F,female,55-59,158230
2017-09-30,F,female,60-64,137700
2017-09-30,F,female,65-69,120840
2017-09-30,F,female,65+,388700
2017-09-30,F,female,70-74,95310
2017-09-30,F,female,75-79,72430
2017-09-30,F,female,80-84,47760
2017-09-30,F,female,85-89,32310
2017-09-30,F,female,90+,20020
2017-12-31,F,female,0-14,457700
2017-12-31,F,female,0-4,148920
2017-12-31,F,female,10-14,149180
2017-12-31,F,female,15-19,153650
2017-12-31,F,female,15-39,825100
2017-12-31,F,female,20-24,171640
2017-12-31,F,female,25-29,183520
2017-12-31,F,female,30-34,164970
2017-12-31,F,female,35-39,151360
2017-12-31,F,female,40-44,152370
2017-12-31,F,female,40-64,782e3
2017-12-31,F,female,45-49,169280
2017-12-31,F,female,5-9,159560
2017-12-31,F,female,50-54,162360
2017-12-31,F,female,55-59,159310
2017-12-31,F,female,60-64,138680
2017-12-31,F,female,65-69,121350
2017-12-31,F,female,65+,392500
2017-12-31,F,female,70-74,97290
2017-12-31,F,female,75-79,72740
2017-12-31,F,female,80-84,48410
2017-12-31,F,female,85-89,32530
2017-12-31,F,female,90+,20150
2018-03-31,F,female,0-14,459300
2018-03-31,F,female,0-4,149030
2018-03-31,F,female,10-14,150780
2018-03-31,F,female,15-19,153640
2018-03-31,F,female,15-39,831600
2018-03-31,F,female,20-24,172390
2018-03-31,F,female,25-29,185700
2018-03-31,F,female,30-34,167160
2018-03-31,F,female,35-39,152750
2018-03-31,F,female,40-44,151790
2018-03-31,F,female,40-64,783400
2018-03-31,F,female,45-49,169430
2018-03-31,F,female,5-9,159480
2018-03-31,F,female,50-54,161890
2018-03-31,F,female,55-59,160690
2018-03-31,F,female,60-64,139590
2018-03-31,F,female,65-69,121710
2018-03-31,F,female,65+,395800
2018-03-31,F,female,70-74,99270
2018-03-31,F,female,75-79,73060
2018-03-31,F,female,80-84,48660
2018-03-31,F,female,85-89,32720
2018-03-31,F,female,90+,20390
2018-06-30,P,female,0-14,460100
2018-06-30,P,female,0-4,149020
2018-06-30,P,female,10-14,151740
2018-06-30,P,female,15-19,153090
2018-06-30,P,female,15-39,833500
2018-06-30,P,female,20-24,171820
2018-06-30,P,female,25-29,186200
2018-06-30,P,female,30-34,168800
2018-06-30,P,female,35-39,153560
2018-06-30,P,female,40-44,151060
2018-06-30,P,female,40-64,784600
2018-06-30,P,female,45-49,169240
2018-06-30,P,female,5-9,159330
2018-06-30,P,female,50-54,161960
2018-06-30,P,female,55-59,161720
2018-06-30,P,female,60-64,140600
2018-06-30,P,female,65-69,121850
2018-06-30,P,female,65+,398400
2018-06-30,P,female,70-74,100890
2018-06-30,P,female,75-79,73290
2018-06-30,P,female,80-84,49090
2018-06-30,P,female,85-89,32730
2018-06-30,P,female,90+,20500
2008-06-30,F,male,0-14,458800
2008-06-30,F,male,0-4,154290
2008-06-30,F,male,10-14,155530
2008-06-30,F,male,15-19,160500
2008-06-30,F,male,15-39,715200
2008-06-30,F,male,20-24,144390
2008-06-30,F,male,25-29,131140
2008-06-30,F,male,30-34,129840
2008-06-30,F,male,35-39,149370
2008-06-30,F,male,40-44,151770
2008-06-30,F,male,40-64,667900
2008-06-30,F,male,45-49,155460
2008-06-30,F,male,5-9,148990
2008-06-30,F,male,50-54,135790
2008-06-30,F,male,55-59,120640
2008-06-30,F,male,60-64,104250
2008-06-30,F,male,65-69,80610
2008-06-30,F,male,65+,241500
2008-06-30,F,male,70-74,59950
2008-06-30,F,male,75-79,47910
2008-06-30,F,male,80-84,32460
2008-06-30,F,male,85-89,15080
2008-06-30,F,male,90+,5460
2008-09-30,F,male,0-14,459400
2008-09-30,F,male,0-4,155270
2008-09-30,F,male,10-14,155230
2008-09-30,F,male,15-19,160750
2008-09-30,F,male,15-39,715300
2008-09-30,F,male,20-24,144950
2008-09-30,F,male,25-29,131530
2008-09-30,F,male,30-34,129340
2008-09-30,F,male,35-39,148760
2008-09-30,F,male,40-44,151380
2008-09-30,F,male,40-64,670300
2008-09-30,F,male,45-49,155870
2008-09-30,F,male,5-9,148940
2008-09-30,F,male,50-54,136840
2008-09-30,F,male,55-59,120830
2008-09-30,F,male,60-64,105370
2008-09-30,F,male,65-69,81430
2008-09-30,F,male,65+,243e3
2008-09-30,F,male,70-74,60490
2008-09-30,F,male,75-79,47730
2008-09-30,F,male,80-84,32680
2008-09-30,F,male,85-89,15250
2008-09-30,F,male,90+,5450
2008-12-31,F,male,0-14,46e4
2008-12-31,F,male,0-4,156140
2008-12-31,F,male,10-14,154760
2008-12-31,F,male,15-19,160210
2008-12-31,F,male,15-39,715200
2008-12-31,F,male,20-24,145130
2008-12-31,F,male,25-29,132600
2008-12-31,F,male,30-34,128920
2008-12-31,F,male,35-39,148340
2008-12-31,F,male,40-44,151190
2008-12-31,F,male,40-64,673100
2008-12-31,F,male,45-49,156080
2008-12-31,F,male,5-9,149070
2008-12-31,F,male,50-54,137850
2008-12-31,F,male,55-59,121150
2008-12-31,F,male,60-64,106880
2008-12-31,F,male,65-69,82080
2008-12-31,F,male,65+,244900
2008-12-31,F,male,70-74,61070
2008-12-31,F,male,75-79,47760
2008-12-31,F,male,80-84,32970
2008-12-31,F,male,85-89,15500
2008-12-31,F,male,90+,5540
2009-03-31,F,male,0-14,461e3
2009-03-31,F,male,0-4,157120
2009-03-31,F,male,10-14,154610
2009-03-31,F,male,15-19,160490
2009-03-31,F,male,15-39,716700
2009-03-31,F,male,20-24,146260
2009-03-31,F,male,25-29,133320
2009-03-31,F,male,30-34,128680
2009-03-31,F,male,35-39,147930
2009-03-31,F,male,40-44,151010
2009-03-31,F,male,40-64,675700
2009-03-31,F,male,45-49,156490
2009-03-31,F,male,5-9,149320
2009-03-31,F,male,50-54,138440
2009-03-31,F,male,55-59,121640
2009-03-31,F,male,60-64,108080
2009-03-31,F,male,65-69,82810
2009-03-31,F,male,65+,246800
2009-03-31,F,male,70-74,61400
2009-03-31,F,male,75-79,47880
2009-03-31,F,male,80-84,33280
2009-03-31,F,male,85-89,15840
2009-03-31,F,male,90+,5630
2009-06-30,F,male,0-14,462100
2009-06-30,F,male,0-4,157790
2009-06-30,F,male,10-14,154880
2009-06-30,F,male,15-19,160290
2009-06-30,F,male,15-39,716e3
2009-06-30,F,male,20-24,146620
2009-06-30,F,male,25-29,133210
2009-06-30,F,male,30-34,128470
2009-06-30,F,male,35-39,147380
2009-06-30,F,male,40-44,150640
2009-06-30,F,male,40-64,678e3
2009-06-30,F,male,45-49,156820
2009-06-30,F,male,5-9,149410
2009-06-30,F,male,50-54,139360
2009-06-30,F,male,55-59,122030
2009-06-30,F,male,60-64,109120
2009-06-30,F,male,65-69,83710
2009-06-30,F,male,65+,248600
2009-06-30,F,male,70-74,61680
2009-06-30,F,male,75-79,47930
2009-06-30,F,male,80-84,33530
2009-06-30,F,male,85-89,16150
2009-06-30,F,male,90+,5640
2009-09-30,F,male,0-14,463300
2009-09-30,F,male,0-4,158700
2009-09-30,F,male,10-14,155050
2009-09-30,F,male,15-19,160640
2009-09-30,F,male,15-39,717400
2009-09-30,F,male,20-24,148090
2009-09-30,F,male,25-29,133660
2009-09-30,F,male,30-34,128460
2009-09-30,F,male,35-39,146560
2009-09-30,F,male,40-44,150690
2009-09-30,F,male,40-64,680900
2009-09-30,F,male,45-49,157060
2009-09-30,F,male,5-9,149550
2009-09-30,F,male,50-54,140200
2009-09-30,F,male,55-59,122520
2009-09-30,F,male,60-64,110400
2009-09-30,F,male,65-69,84180
2009-09-30,F,male,65+,250400
2009-09-30,F,male,70-74,62410
2009-09-30,F,male,75-79,48070
2009-09-30,F,male,80-84,33620
2009-09-30,F,male,85-89,16500
2009-09-30,F,male,90+,5560
2009-12-31,F,male,0-14,464300
2009-12-31,F,male,0-4,159750
2009-12-31,F,male,10-14,155220
2009-12-31,F,male,15-19,160280
2009-12-31,F,male,15-39,718700
2009-12-31,F,male,20-24,149060
2009-12-31,F,male,25-29,134950
2009-12-31,F,male,30-34,128370
2009-12-31,F,male,35-39,146030
2009-12-31,F,male,40-44,150850
2009-12-31,F,male,40-64,684e3
2009-12-31,F,male,45-49,157140
2009-12-31,F,male,5-9,149340
2009-12-31,F,male,50-54,141060
2009-12-31,F,male,55-59,123030
2009-12-31,F,male,60-64,111880
2009-12-31,F,male,65-69,84520
2009-12-31,F,male,65+,252200
2009-12-31,F,male,70-74,63170
2009-12-31,F,male,75-79,48310
2009-12-31,F,male,80-84,33860
2009-12-31,F,male,85-89,16650
2009-12-31,F,male,90+,5700
2010-03-31,F,male,0-14,465100
2010-03-31,F,male,0-4,160530
2010-03-31,F,male,10-14,155320
2010-03-31,F,male,15-19,161030
2010-03-31,F,male,15-39,720200
2010-03-31,F,male,20-24,150320
2010-03-31,F,male,25-29,135230
2010-03-31,F,male,30-34,128180
2010-03-31,F,male,35-39,145420
2010-03-31,F,male,40-44,150890
2010-03-31,F,male,40-64,686200
2010-03-31,F,male,45-49,156910
2010-03-31,F,male,5-9,149230
2010-03-31,F,male,50-54,141880
2010-03-31,F,male,55-59,123480
2010-03-31,F,male,60-64,112990
2010-03-31,F,male,65-69,85190
2010-03-31,F,male,65+,254300
2010-03-31,F,male,70-74,63770
2010-03-31,F,male,75-79,48390
2010-03-31,F,male,80-84,34110
2010-03-31,F,male,85-89,16900
2010-03-31,F,male,90+,5920
2010-06-30,F,male,0-14,465700
2010-06-30,F,male,0-4,161370
2010-06-30,F,male,10-14,155590
2010-06-30,F,male,15-19,160860
2010-06-30,F,male,15-39,718200
2010-06-30,F,male,20-24,150440
2010-06-30,F,male,25-29,134490
2010-06-30,F,male,30-34,127860
2010-06-30,F,male,35-39,144520
2010-06-30,F,male,40-44,150360
2010-06-30,F,male,40-64,687300
2010-06-30,F,male,45-49,156600
2010-06-30,F,male,5-9,148790
2010-06-30,F,male,50-54,142810
2010-06-30,F,male,55-59,123940
2010-06-30,F,male,60-64,113630
2010-06-30,F,male,65-69,85880
2010-06-30,F,male,65+,256500
2010-06-30,F,male,70-74,64810
2010-06-30,F,male,75-79,48400
2010-06-30,F,male,80-84,34240
2010-06-30,F,male,85-89,17040
2010-06-30,F,male,90+,6100
2010-09-30,F,male,0-14,466300
2010-09-30,F,male,0-4,161960
2010-09-30,F,male,10-14,155660
2010-09-30,F,male,15-19,161050
2010-09-30,F,male,15-39,719100
2010-09-30,F,male,20-24,152060
2010-09-30,F,male,25-29,134640
2010-09-30,F,male,30-34,127920
2010-09-30,F,male,35-39,143440
2010-09-30,F,male,40-44,150310
2010-09-30,F,male,40-64,689500
2010-09-30,F,male,45-49,156330
2010-09-30,F,male,5-9,148680
2010-09-30,F,male,50-54,143810
2010-09-30,F,male,55-59,124590
2010-09-30,F,male,60-64,114430
2010-09-30,F,male,65-69,86360
2010-09-30,F,male,65+,258500
2010-09-30,F,male,70-74,65940
2010-09-30,F,male,75-79,48390
2010-09-30,F,male,80-84,34570
2010-09-30,F,male,85-89,17100
2010-09-30,F,male,90+,6180
2010-12-31,F,male,0-14,466700
2010-12-31,F,male,0-4,162560
2010-12-31,F,male,10-14,155570
2010-12-31,F,male,15-19,160500
2010-12-31,F,male,15-39,719500
2010-12-31,F,male,20-24,153130
2010-12-31,F,male,25-29,135290
2010-12-31,F,male,30-34,128240
2010-12-31,F,male,35-39,142300
2010-12-31,F,male,40-44,150640
2010-12-31,F,male,40-64,692200
2010-12-31,F,male,45-49,155990
2010-12-31,F,male,5-9,148600
2010-12-31,F,male,50-54,144770
2010-12-31,F,male,55-59,125120
2010-12-31,F,male,60-64,115660
2010-12-31,F,male,65-69,86720
2010-12-31,F,male,65+,260800
2010-12-31,F,male,70-74,67070
2010-12-31,F,male,75-79,48380
2010-12-31,F,male,80-84,34870
2010-12-31,F,male,85-89,17420
2010-12-31,F,male,90+,6350
2011-03-31,F,male,0-14,466800
2011-03-31,F,male,0-4,163050
2011-03-31,F,male,10-14,155400
2011-03-31,F,male,15-19,160710
2011-03-31,F,male,15-39,719500
2011-03-31,F,male,20-24,154410
2011-03-31,F,male,25-29,134910
2011-03-31,F,male,30-34,128470
2011-03-31,F,male,35-39,140980
2011-03-31,F,male,40-44,150700
2011-03-31,F,male,40-64,693900
2011-03-31,F,male,45-49,155630
2011-03-31,F,male,5-9,148380
2011-03-31,F,male,50-54,145220
2011-03-31,F,male,55-59,125870
2011-03-31,F,male,60-64,116530
2011-03-31,F,male,65-69,87350
2011-03-31,F,male,65+,263e3
2011-03-31,F,male,70-74,67880
2011-03-31,F,male,75-79,48500
2011-03-31,F,male,80-84,35140
2011-03-31,F,male,85-89,17660
2011-03-31,F,male,90+,6480
2011-06-30,F,male,0-14,466700
2011-06-30,F,male,0-4,163020
2011-06-30,F,male,10-14,155210
2011-06-30,F,male,15-19,160330
2011-06-30,F,male,15-39,716700
2011-06-30,F,male,20-24,154490
2011-06-30,F,male,25-29,134090
2011-06-30,F,male,30-34,128120
2011-06-30,F,male,35-39,139650
2011-06-30,F,male,40-44,150700
2011-06-30,F,male,40-64,695e3
2011-06-30,F,male,45-49,154850
2011-06-30,F,male,5-9,148500
2011-06-30,F,male,50-54,145790
2011-06-30,F,male,55-59,126520
2011-06-30,F,male,60-64,117170
2011-06-30,F,male,65-69,88050
2011-06-30,F,male,65+,265100
2011-06-30,F,male,70-74,68790
2011-06-30,F,male,75-79,48530
2011-06-30,F,male,80-84,35350
2011-06-30,F,male,85-89,17850
2011-06-30,F,male,90+,6550
2011-09-30,F,male,0-14,466800
2011-09-30,F,male,0-4,163170
2011-09-30,F,male,10-14,154830
2011-09-30,F,male,15-19,160500
2011-09-30,F,male,15-39,716600
2011-09-30,F,male,20-24,155590
2011-09-30,F,male,25-29,134120
2011-09-30,F,male,30-34,128080
2011-09-30,F,male,35-39,138350
2011-09-30,F,male,40-44,150900
2011-09-30,F,male,40-64,696300
2011-09-30,F,male,45-49,154120
2011-09-30,F,male,5-9,148750
2011-09-30,F,male,50-54,146500
2011-09-30,F,male,55-59,127380
2011-09-30,F,male,60-64,117390
2011-09-30,F,male,65-69,89250
2011-09-30,F,male,65+,267700
2011-09-30,F,male,70-74,69630
2011-09-30,F,male,75-79,48720
2011-09-30,F,male,80-84,35550
2011-09-30,F,male,85-89,17910
2011-09-30,F,male,90+,6640
2011-12-31,F,male,0-14,466500
2011-12-31,F,male,0-4,163040
2011-12-31,F,male,10-14,154450
2011-12-31,F,male,15-19,159920
2011-12-31,F,male,15-39,716200
2011-12-31,F,male,20-24,156120
2011-12-31,F,male,25-29,134730
2011-12-31,F,male,30-34,128070
2011-12-31,F,male,35-39,137390
2011-12-31,F,male,40-44,150830
2011-12-31,F,male,40-64,697400
2011-12-31,F,male,45-49,153860
2011-12-31,F,male,5-9,148970
2011-12-31,F,male,50-54,146990
2011-12-31,F,male,55-59,128280
2011-12-31,F,male,60-64,117400
2011-12-31,F,male,65-69,90830
2011-12-31,F,male,65+,271100
2011-12-31,F,male,70-74,70700
2011-12-31,F,male,75-79,48960
2011-12-31,F,male,80-84,35670
2011-12-31,F,male,85-89,18160
2011-12-31,F,male,90+,6760
2012-03-31,F,male,0-14,466800
2012-03-31,F,male,0-4,162710
2012-03-31,F,male,10-14,154300
2012-03-31,F,male,15-19,159700
2012-03-31,F,male,15-39,715600
2012-03-31,F,male,20-24,157020
2012-03-31,F,male,25-29,134690
2012-03-31,F,male,30-34,128120
2012-03-31,F,male,35-39,136060
2012-03-31,F,male,40-44,151050
2012-03-31,F,male,40-64,697900
2012-03-31,F,male,45-49,152890
2012-03-31,F,male,5-9,149800
2012-03-31,F,male,50-54,147960
2012-03-31,F,male,55-59,128780
2012-03-31,F,male,60-64,117270
2012-03-31,F,male,65-69,92190
2012-03-31,F,male,65+,274300
2012-03-31,F,male,70-74,71700
2012-03-31,F,male,75-79,49160
2012-03-31,F,male,80-84,35820
2012-03-31,F,male,85-89,18480
2012-03-31,F,male,90+,6950
2012-06-30,F,male,0-14,466500
2012-06-30,F,male,0-4,162090
2012-06-30,F,male,10-14,153890
2012-06-30,F,male,15-19,159840
2012-06-30,F,male,15-39,713200
2012-06-30,F,male,20-24,156360
2012-06-30,F,male,25-29,133950
2012-06-30,F,male,30-34,128030
2012-06-30,F,male,35-39,134990
2012-06-30,F,male,40-44,150950
2012-06-30,F,male,40-64,698400
2012-06-30,F,male,45-49,151930
2012-06-30,F,male,5-9,150520
2012-06-30,F,male,50-54,148750
2012-06-30,F,male,55-59,129380
2012-06-30,F,male,60-64,117370
2012-06-30,F,male,65-69,93450
2012-06-30,F,male,65+,276900
2012-06-30,F,male,70-74,72480
2012-06-30,F,male,75-79,49340
2012-06-30,F,male,80-84,35970
2012-06-30,F,male,85-89,18680
2012-06-30,F,male,90+,7010
2012-09-30,F,male,0-14,466400
2012-09-30,F,male,0-4,161600
2012-09-30,F,male,10-14,153390
2012-09-30,F,male,15-19,159960
2012-09-30,F,male,15-39,713200
2012-09-30,F,male,20-24,157160
2012-09-30,F,male,25-29,134020
2012-09-30,F,male,30-34,128430
2012-09-30,F,male,35-39,133630
2012-09-30,F,male,40-44,150880
2012-09-30,F,male,40-64,699300
2012-09-30,F,male,45-49,151410
2012-09-30,F,male,5-9,151380
2012-09-30,F,male,50-54,149370
2012-09-30,F,male,55-59,130100
2012-09-30,F,male,60-64,117580
2012-09-30,F,male,65-69,94990
2012-09-30,F,male,65+,279600
2012-09-30,F,male,70-74,73160
2012-09-30,F,male,75-79,49630
2012-09-30,F,male,80-84,36010
2012-09-30,F,male,85-89,18740
2012-09-30,F,male,90+,7070
2012-12-31,F,male,0-14,466300
2012-12-31,F,male,0-4,161520
2012-12-31,F,male,10-14,152710
2012-12-31,F,male,15-19,159810
2012-12-31,F,male,15-39,714200
2012-12-31,F,male,20-24,157650
2012-12-31,F,male,25-29,134850
2012-12-31,F,male,30-34,129070
2012-12-31,F,male,35-39,132830
2012-12-31,F,male,40-44,150780
2012-12-31,F,male,40-64,700500
2012-12-31,F,male,45-49,151080
2012-12-31,F,male,5-9,152070
2012-12-31,F,male,50-54,150070
2012-12-31,F,male,55-59,130720
2012-12-31,F,male,60-64,117850
2012-12-31,F,male,65-69,96950
2012-12-31,F,male,65+,282800
2012-12-31,F,male,70-74,73520
2012-12-31,F,male,75-79,50140
2012-12-31,F,male,80-84,36060
2012-12-31,F,male,85-89,19030
2012-12-31,F,male,90+,7130
2013-03-31,F,male,0-14,466300
2013-03-31,F,male,0-4,160980
2013-03-31,F,male,10-14,152560
2013-03-31,F,male,15-19,160100
2013-03-31,F,male,15-39,715600
2013-03-31,F,male,20-24,158640
2013-03-31,F,male,25-29,135210
2013-03-31,F,male,30-34,129530
2013-03-31,F,male,35-39,132150
2013-03-31,F,male,40-44,150610
2013-03-31,F,male,40-64,701200
2013-03-31,F,male,45-49,150470
2013-03-31,F,male,5-9,152740
2013-03-31,F,male,50-54,150790
2013-03-31,F,male,55-59,131530
2013-03-31,F,male,60-64,117810
2013-03-31,F,male,65-69,98970
2013-03-31,F,male,65+,285900
2013-03-31,F,male,70-74,73680
2013-03-31,F,male,75-79,50600
2013-03-31,F,male,80-84,36070
2013-03-31,F,male,85-89,19290
2013-03-31,F,male,90+,7300
2013-06-30,F,male,0-14,465900
2013-06-30,F,male,0-4,160150
2013-06-30,F,male,10-14,152180
2013-06-30,F,male,15-19,160150
2013-06-30,F,male,15-39,715700
2013-06-30,F,male,20-24,159180
2013-06-30,F,male,25-29,135330
2013-06-30,F,male,30-34,129510
2013-06-30,F,male,35-39,131500
2013-06-30,F,male,40-44,150170
2013-06-30,F,male,40-64,702e3
2013-06-30,F,male,45-49,150100
2013-06-30,F,male,5-9,153570
2013-06-30,F,male,50-54,151680
2013-06-30,F,male,55-59,132170
2013-06-30,F,male,60-64,117900
2013-06-30,F,male,65-69,100570
2013-06-30,F,male,65+,288600
2013-06-30,F,male,70-74,74040
2013-06-30,F,male,75-79,51010
2013-06-30,F,male,80-84,36100
2013-06-30,F,male,85-89,19340
2013-06-30,F,male,90+,7500
2013-09-30,F,male,0-14,466e3
2013-09-30,F,male,0-4,159600
2013-09-30,F,male,10-14,151790
2013-09-30,F,male,15-19,160610
2013-09-30,F,male,15-39,72e4
2013-09-30,F,male,20-24,160780
2013-09-30,F,male,25-29,137180
2013-09-30,F,male,30-34,130530
2013-09-30,F,male,35-39,130940
2013-09-30,F,male,40-44,149620
2013-09-30,F,male,40-64,703100
2013-09-30,F,male,45-49,149840
2013-09-30,F,male,5-9,154570
2013-09-30,F,male,50-54,152110
2013-09-30,F,male,55-59,133250
2013-09-30,F,male,60-64,118300
2013-09-30,F,male,65-69,101730
2013-09-30,F,male,65+,291400
2013-09-30,F,male,70-74,74900
2013-09-30,F,male,75-79,51510
2013-09-30,F,male,80-84,36110
2013-09-30,F,male,85-89,19550
2013-09-30,F,male,90+,7600
2013-12-31,F,male,0-14,466200
2013-12-31,F,male,0-4,159130
2013-12-31,F,male,10-14,151610
2013-12-31,F,male,15-19,160360
2013-12-31,F,male,15-39,724600
2013-12-31,F,male,20-24,162550
2013-12-31,F,male,25-29,139580
2013-12-31,F,male,30-34,131670
2013-12-31,F,male,35-39,130420
2013-12-31,F,male,40-44,149350
2013-12-31,F,male,40-64,704500
2013-12-31,F,male,45-49,149710
2013-12-31,F,male,5-9,155440
2013-12-31,F,male,50-54,152480
2013-12-31,F,male,55-59,134300
2013-12-31,F,male,60-64,118630
2013-12-31,F,male,65-69,103420
2013-12-31,F,male,65+,295e3
2013-12-31,F,male,70-74,75560
2013-12-31,F,male,75-79,52140
2013-12-31,F,male,80-84,36250
2013-12-31,F,male,85-89,19880
2013-12-31,F,male,90+,7760
2014-03-31,F,male,0-14,466700
2014-03-31,F,male,0-4,158510
2014-03-31,F,male,10-14,151670
2014-03-31,F,male,15-19,161070
2014-03-31,F,male,15-39,730700
2014-03-31,F,male,20-24,164850
2014-03-31,F,male,25-29,141800
2014-03-31,F,male,30-34,132920
2014-03-31,F,male,35-39,130010
2014-03-31,F,male,40-44,149210
2014-03-31,F,male,40-64,706e3
2014-03-31,F,male,45-49,149660
2014-03-31,F,male,5-9,156530
2014-03-31,F,male,50-54,153060
2014-03-31,F,male,55-59,134950
2014-03-31,F,male,60-64,119130
2014-03-31,F,male,65-69,104600
2014-03-31,F,male,65+,298200
2014-03-31,F,male,70-74,76360
2014-03-31,F,male,75-79,52600
2014-03-31,F,male,80-84,36430
2014-03-31,F,male,85-89,20190
2014-03-31,F,male,90+,7990
2014-06-30,F,male,0-14,467100
2014-06-30,F,male,0-4,158360
2014-06-30,F,male,10-14,151460
2014-06-30,F,male,15-19,161440
2014-06-30,F,male,15-39,734600
2014-06-30,F,male,20-24,166320
2014-06-30,F,male,25-29,143380
2014-06-30,F,male,30-34,133470
2014-06-30,F,male,35-39,129980
2014-06-30,F,male,40-44,148830
2014-06-30,F,male,40-64,707100
2014-06-30,F,male,45-49,149510
2014-06-30,F,male,5-9,157230
2014-06-30,F,male,50-54,153370
2014-06-30,F,male,55-59,135850
2014-06-30,F,male,60-64,119500
2014-06-30,F,male,65-69,105690
2014-06-30,F,male,65+,300900
2014-06-30,F,male,70-74,77250
2014-06-30,F,male,75-79,52980
2014-06-30,F,male,80-84,36510
2014-06-30,F,male,85-89,20400
2014-06-30,F,male,90+,8070
2014-09-30,F,male,0-14,467300
2014-09-30,F,male,0-4,157860
2014-09-30,F,male,10-14,151220
2014-09-30,F,male,15-19,162460
2014-09-30,F,male,15-39,742700
2014-09-30,F,male,20-24,168900
2014-09-30,F,male,25-29,146590
2014-09-30,F,male,30-34,134580
2014-09-30,F,male,35-39,130170
2014-09-30,F,male,40-44,148170
2014-09-30,F,male,40-64,708200
2014-09-30,F,male,45-49,149650
2014-09-30,F,male,5-9,158220
2014-09-30,F,male,50-54,153650
2014-09-30,F,male,55-59,136670
2014-09-30,F,male,60-64,120060
2014-09-30,F,male,65-69,107e3
2014-09-30,F,male,65+,303700
2014-09-30,F,male,70-74,77800
2014-09-30,F,male,75-79,53630
2014-09-30,F,male,80-84,36660
2014-09-30,F,male,85-89,20490
2014-09-30,F,male,90+,8120
2014-12-31,F,male,0-14,467700
2014-12-31,F,male,0-4,157650
2014-12-31,F,male,10-14,150720
2014-12-31,F,male,15-19,162610
2014-12-31,F,male,15-39,75e4
2014-12-31,F,male,20-24,171190
2014-12-31,F,male,25-29,149920
2014-12-31,F,male,30-34,136080
2014-12-31,F,male,35-39,130190
2014-12-31,F,male,40-44,147720
2014-12-31,F,male,40-64,709700
2014-12-31,F,male,45-49,149910
2014-12-31,F,male,5-9,159330
2014-12-31,F,male,50-54,153980
2014-12-31,F,male,55-59,137500
2014-12-31,F,male,60-64,120590
2014-12-31,F,male,65-69,108430
